Order Date,Region,Category,Sales,Profit
2024-09-04 01:31:22.277630,East,Furniture,183.79,28.06
2025-05-08 01:31:22.277630,East,Technology,340.61,-66.31
2025-02-19 01:31:22.277630,East,Furniture,391.68,-6.47
2024-09-08 01:31:22.277630,East,Office Supplies,350.53,11.56
2024-08-04 01:31:22.277630,North,Technology,242.17,-36.8
2024-11-29 01:31:22.277630,South,Technology,144.47,20.52
2024-06-14 01:31:22.277630,East,Furniture,408.99,-60.78
2024-09-04 01:31:22.277630,East,Furniture,186.39,-28.89
2024-09-23 01:31:22.277630,West,Furniture,314.22,-5.04
2024-12-25 01:31:22.277630,South,Furniture,75.37,12.75
2025-04-20 01:31:22.277630,South,Office Supplies,375.33,105.78
2024-08-20 01:31:22.277630,North,Furniture,477.4,89.76
2024-09-01 01:31:22.277630,South,Technology,235.66,7.78
2025-05-19 01:31:22.277630,East,Technology,283.21,-18.04
2024-10-23 01:31:22.277630,West,Technology,451.76,-22.27
2024-10-02 01:31:22.277630,South,Technology,401.74,-23.36
2024-10-21 01:31:22.277630,West,Office Supplies,481.89,-29.32
2025-03-29 01:31:22.277630,East,Office Supplies,147.71,-24.44
2025-02-06 01:31:22.277630,West,Office Supplies,245.6,-22.05
2025-05-03 01:31:22.277630,South,Furniture,238.71,-34.86
2025-03-14 01:31:22.277630,South,Technology,247.09,-48.51
2024-12-02 01:31:22.277630,North,Technology,458.3,-26.21
2025-02-25 01:31:22.277630,East,Office Supplies,118.65,-2.84
2024-11-01 01:31:22.277630,North,Furniture,449.55,118.55
2025-04-03 01:31:22.277630,North,Office Supplies,294.14,87.48
2024-06-15 01:31:22.277630,East,Technology,277.68,24.91
2025-02-01 01:31:22.277630,South,Technology,219.92,55.09
2025-01-15 01:31:22.277630,West,Office Supplies,279.03,30.45
2025-05-04 01:31:22.277630,North,Technology,405.58,19.79
2024-07-12 01:31:22.277630,South,Office Supplies,256.27,-45.78
2024-07-22 01:31:22.277630,South,Office Supplies,392.49,-69.75
2024-11-10 01:31:22.277630,North,Office Supplies,219.99,-40.61
2024-11-28 01:31:22.277630,North,Office Supplies,107.79,-13.47
2025-02-19 01:31:22.277630,North,Technology,219.04,-35.39
2024-11-30 01:31:22.277630,South,Furniture,367.21,-37.7
2024-11-15 01:31:22.277630,East,Technology,428.84,25.56
2024-07-14 01:31:22.277630,East,Office Supplies,390.38,20.14
2025-05-23 01:31:22.277630,North,Technology,199.74,-5.57
2024-07-18 01:31:22.277630,West,Furniture,297.99,39.63
2025-01-23 01:31:22.277630,South,Technology,193.02,-0.78
2025-04-09 01:31:22.277630,West,Office Supplies,358.16,-32.19
2024-10-02 01:31:22.277630,North,Furniture,229.5,33.52
2025-03-27 01:31:22.277630,South,Technology,387.12,112.3
2024-10-06 01:31:22.277630,East,Furniture,26.14,5.37
2024-06-14 01:31:22.277630,East,Technology,183.27,1.29
2025-04-18 01:31:22.277630,West,Furniture,441.55,-5.37
2024-11-07 01:31:22.277630,North,Office Supplies,175.3,-31.67
2025-02-22 01:31:22.277630,West,Office Supplies,209.49,26.93
2024-08-21 01:31:22.277630,North,Furniture,399.55,-35.44
2025-04-05 01:31:22.277630,East,Technology,65.42,9.27
2024-06-07 01:31:22.277630,South,Office Supplies,169.71,30.56
2025-01-21 01:31:22.277630,East,Technology,391.74,93.98
2025-02-13 01:31:22.277630,West,Furniture,479.37,35.53
2025-05-05 01:31:22.277630,South,Technology,395.76,85.08
2024-07-16 01:31:22.277630,North,Furniture,102.76,16.61
2025-04-29 01:31:22.277630,East,Technology,420.81,-9.89
2024-08-24 01:31:22.277630,North,Furniture,248.37,-36.46
2025-02-12 01:31:22.277630,East,Furniture,395.84,-31.24
2024-06-28 01:31:22.277630,North,Furniture,134.89,29.98
2024-12-16 01:31:22.277630,East,Furniture,183.74,12.35
2024-08-13 01:31:22.277630,East,Technology,452.79,60.12
2024-07-13 01:31:22.277630,North,Office Supplies,457.18,92.82
2025-05-19 01:31:22.277630,East,Furniture,156.88,20.95
2024-05-26 01:31:22.277630,East,Furniture,60.11,13.71
2024-07-17 01:31:22.277630,East,Office Supplies,465.93,-73.07
2024-09-07 01:31:22.277630,West,Office Supplies,164.19,41.35
2025-02-08 01:31:22.277630,East,Furniture,77.66,16.02
2025-03-30 01:31:22.277630,North,Furniture,187.09,47.05
2024-12-01 01:31:22.277630,North,Technology,155.36,25.7
2024-12-28 01:31:22.277630,West,Office Supplies,58.67,-3.68
2024-07-07 01:31:22.277630,East,Technology,492.19,-70.41
2024-11-02 01:31:22.277630,West,Furniture,161.01,-21.77
2024-12-12 01:31:22.277630,West,Furniture,150.74,7.45
2025-02-18 01:31:22.277630,East,Furniture,221.57,-1.0
2025-05-10 01:31:22.277630,North,Furniture,219.11,27.85
2025-03-24 01:31:22.277630,East,Office Supplies,228.24,11.79
2025-02-19 01:31:22.277630,West,Technology,455.18,-62.51
2024-12-25 01:31:22.277630,South,Office Supplies,48.91,-9.73
2025-01-31 01:31:22.277630,West,Furniture,471.99,-64.12
2024-11-30 01:31:22.277630,North,Technology,339.64,-43.01
2025-03-16 01:31:22.277630,East,Furniture,354.81,56.76
2024-12-23 01:31:22.277630,South,Office Supplies,95.77,-5.49
2024-12-18 01:31:22.277630,West,Furniture,177.98,-27.26
2025-01-16 01:31:22.277630,West,Office Supplies,45.07,8.01
2025-04-27 01:31:22.277630,West,Office Supplies,333.48,90.12
2024-07-16 01:31:22.277630,East,Furniture,183.13,-27.43
2025-02-28 01:31:22.277630,East,Furniture,284.6,80.12
2024-12-27 01:31:22.277630,West,Office Supplies,381.31,104.91
2025-01-31 01:31:22.277630,East,Technology,285.7,17.59
2024-11-28 01:31:22.277630,South,Office Supplies,54.32,-2.83
2024-07-04 01:31:22.277630,South,Technology,49.59,-6.49
2024-10-28 01:31:22.277630,North,Office Supplies,436.24,92.45
2024-06-08 01:31:22.277630,East,Furniture,145.83,14.93
2025-03-21 01:31:22.277630,East,Office Supplies,193.86,24.36
2024-07-28 01:31:22.277630,West,Technology,124.83,28.77
2025-05-04 01:31:22.277630,South,Technology,355.46,7.81
2025-04-16 01:31:22.277630,East,Technology,205.33,-3.27
2024-06-02 01:31:22.277630,East,Technology,239.04,43.3
2025-05-03 01:31:22.277630,East,Technology,343.74,-17.66
2024-09-30 01:31:22.277630,West,Office Supplies,319.07,-11.5
2024-10-07 01:31:22.277630,South,Furniture,391.69,-3.7
2024-07-26 01:31:22.277630,East,Furniture,379.43,86.58
2024-10-10 01:31:22.277630,East,Office Supplies,231.15,43.82
2024-08-13 01:31:22.277630,West,Furniture,112.09,-6.09
2024-11-03 01:31:22.277630,North,Office Supplies,127.15,-16.3
2025-03-09 01:31:22.277630,West,Technology,359.23,-1.29
2025-02-09 01:31:22.277630,East,Office Supplies,145.42,16.33
2025-01-10 01:31:22.277630,South,Furniture,231.42,31.96
2024-07-04 01:31:22.277630,South,Furniture,71.79,-7.16
2024-06-21 01:31:22.277630,East,Furniture,78.68,-5.92
2024-10-06 01:31:22.277630,North,Office Supplies,139.97,37.1
2024-12-11 01:31:22.277630,West,Office Supplies,60.72,-0.45
2025-04-17 01:31:22.277630,East,Office Supplies,151.79,-6.52
2025-02-16 01:31:22.277630,East,Furniture,292.73,43.28
2024-06-26 01:31:22.277630,East,Office Supplies,377.49,12.81
2024-07-11 01:31:22.277630,West,Office Supplies,35.7,-2.73
2024-07-25 01:31:22.277630,South,Furniture,308.3,1.43
2024-12-26 01:31:22.277630,West,Technology,194.33,-24.86
2025-03-13 01:31:22.277630,East,Technology,128.79,-7.76
2024-08-31 01:31:22.277630,South,Furniture,35.29,0.33
2024-11-12 01:31:22.277630,North,Furniture,176.45,10.41
